City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Sao Joao Da Barra,BR,-21.64,-41.05,69.17,85,95,8.57,overcast clouds
83,Sitka,US,57.05,-135.33,39.2,86,1,14.99,clear sky
84,Nome,US,64.5,-165.41,39.2,86,90,25.28,light rain
85,Katsuura,JP,35.13,140.3,71.01,82,75,3.36,broken clouds
86,Kaitangata,NZ,-46.28,169.85,50.0,72,79,7.0,broken clouds
87,Kodiak,US,57.79,-152.41,32.0,79,1,6.93,clear sky
88,Nikolskoye,RU,59.7,30.79,50.0,76,0,17.9,clear sky
89,Tuktoyaktuk,CA,69.45,-133.04,14.0,92,90,5.82,light snow
90,Cheyenne,US,41.14,-104.82,52.0,43,90,8.05,overcast clouds
91,Quatre Cocos,MU,-20.21,57.76,78.01,69,75,11.41,broken clouds
92,Lebu,CL,-37.62,-73.65,51.42,83,0,20.0,clear sky
93,Padang,ID,-0.95,100.35,84.42,68,92,5.37,overcast clouds
94,San Antonio,US,29.42,-98.49,66.2,82,1,6.93,clear sky
95,Asau,RO,46.43,26.4,44.01,93,50,3.65,scattered clouds
96,Faanui,PF,-16.48,-151.75,79.3,80,0,14.03,clear sky
97,Severo-Kurilsk,RU,50.68,156.12,36.09,81,85,6.58,overcast clouds
98,Malakal,SS,9.53,31.66,75.63,34,99,6.13,overcast clouds
99,Aklavik,CA,68.22,-135.01,19.4,72,94,4.7,overcast clouds
100,Chokurdakh,RU,70.63,147.92,2.5,94,100,8.7,light snow
101,Rudbar,AF,30.15,62.6,75.31,16,0,4.47,clear sky
102,Ballina,AU,-28.87,153.57,77.0,60,40,14.99,scattered clouds
103,New Norfolk,AU,-42.78,147.06,57.99,47,96,1.99,overcast clouds
104,San Vito,CR,8.82,-82.97,61.0,100,76,3.53,broken clouds
105,Lasa,IT,46.62,10.7,43.0,100,5,2.24,clear sky
106,Bluff,NZ,-46.6,168.33,46.24,84,100,11.39,light rain
107,Zhigansk,RU,66.77,123.37,-11.97,89,46,4.43,scattered clouds
108,Tuxpan,MX,19.55,-103.4,61.63,74,24,2.53,few clouds
109,Ndele,CF,8.41,20.65,72.07,77,100,2.17,overcast clouds
110,Tasiilaq,GL,65.61,-37.64,28.4,79,100,31.09,light snow
111,Ponta Do Sol,PT,32.67,-17.1,63.0,63,20,5.82,few clouds
112,Atuona,PF,-9.8,-139.03,78.53,77,84,19.39,light rain
113,Russell,US,32.35,-85.2,66.2,72,1,7.63,clear sky
114,Georgetown,MY,5.41,100.34,87.8,74,40,5.82,scattered clouds
115,Palmer,US,42.16,-72.33,48.2,93,40,5.82,scattered clouds
116,Ancud,CL,-41.87,-73.82,46.0,81,99,14.99,overcast clouds
117,Camacha,PT,33.08,-16.33,66.2,68,40,6.93,scattered clouds
118,Neyvo-Shaytanskiy,RU,57.73,61.25,37.56,94,100,5.68,overcast clouds
119,Marawi,PH,8.0,124.29,81.0,81,100,5.99,overcast clouds
120,Butaritari,KI,3.07,172.79,81.43,75,100,13.69,overcast clouds
121,Mahebourg,MU,-20.41,57.7,77.0,69,75,11.41,broken clouds
122,Yerbogachen,RU,61.28,108.01,-0.92,88,60,5.48,broken clouds
123,Bengkulu,ID,-3.8,102.27,84.74,67,18,9.13,few clouds
124,Karratha,AU,-20.74,116.85,95.22,21,0,21.61,clear sky
125,Lakes Entrance,AU,-37.88,147.98,61.0,55,51,5.01,broken clouds
126,Alta Floresta,BR,-9.88,-56.09,71.96,85,61,2.62,moderate rain
127,Kholtoson,RU,50.3,103.31,28.02,80,23,2.64,few clouds
128,Guerrero Negro,MX,27.98,-114.06,66.85,88,0,8.28,clear sky
129,Kasulu,TZ,-4.58,30.1,71.6,88,75,4.79,broken clouds
130,Hofn,IS,64.25,-15.21,36.14,75,0,9.62,clear sky
131,Castro,BR,-24.79,-50.01,50.56,98,16,5.21,few clouds
132,Khani,GE,41.96,42.96,53.6,81,75,8.05,broken clouds
133,Itarema,BR,-2.92,-39.92,79.25,81,100,14.0,overcast clouds
134,Carnarvon,AU,-24.87,113.63,77.0,69,90,19.46,overcast clouds
135,Romny,UA,50.75,33.47,41.99,94,97,11.16,overcast clouds
136,Aliwal North,ZA,-30.69,26.71,65.44,39,100,14.27,overcast clouds
137,Qaanaaq,GL,77.48,-69.36,-7.85,78,41,7.76,scattered clouds
138,Provideniya,RU,64.38,-173.3,33.12,91,53,21.14,broken clouds
139,Mugur-Aksy,RU,50.35,90.5,34.12,86,58,3.51,broken clouds
140,Portland,US,45.52,-122.68,46.0,95,74,4.85,broken clouds
141,Morant Bay,JM,17.88,-76.41,77.0,83,20,8.05,few clouds
142,Aripuana,BR,-9.17,-60.63,73.33,91,22,1.5,few clouds
143,Lorengau,PG,-2.02,147.27,85.1,73,73,10.87,broken clouds
144,Kulhudhuffushi,MV,6.62,73.07,82.92,70,93,4.56,light rain
145,Tres Picos,MX,15.87,-93.53,78.6,68,62,4.47,broken clouds
146,Srednekolymsk,RU,67.45,153.68,-3.78,92,100,6.26,overcast clouds
147,Ardakan,IR,32.31,54.02,59.0,18,20,4.7,few clouds
148,Vao,NC,-22.67,167.48,75.6,79,0,13.2,clear sky
