City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,Ambulu,ID,86.95,clear sky,-8.35,113.61,Hotel Ambulu Jember
291,Geraldton,AU,80.6,clear sky,-28.77,114.6,Broadwater Mariner Resort
294,Acarau,BR,78.91,overcast clouds,-2.89,-40.12,castelo pizzaria
295,Kourou,GF,75.2,clear sky,5.16,-52.65,Lodge Takini 4
298,Alofi,NU,78.8,few clouds,-19.06,-169.92,Taloa Heights
299,Lodwar,KE,82.38,broken clouds,3.12,35.6,Turkwel Lodge
300,Manjacaze,MZ,83.86,clear sky,-24.71,33.88,Hotel Gani
301,Salalah,OM,78.53,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
305,Yadgir,IN,82.89,scattered clouds,16.77,77.13,Hotel SLV yadgir
309,Fortuna Foothills,US,75.2,broken clouds,32.66,-114.41,Fortuna De Oro RV Park
310,Zahir Pir,PK,86.65,clear sky,28.81,70.52,The Secret Service Bed and Breakfast
316,Kingaroy,AU,80.6,scattered clouds,-26.53,151.83,Ascot Lodge Motel Kingaroy
317,Malabo,GQ,78.8,light rain,3.75,8.78,Magno Suites
318,Dhanwar,IN,77.27,clear sky,24.42,85.98,K G N HOTEL
321,Srandakan,ID,86.09,few clouds,-7.94,110.25,Puri Brata
322,Santa Cruz,BO,78.8,smoke,-17.8,-63.17,Hotel Cortez
323,Taitung,TW,86.0,scattered clouds,22.76,121.14,Taitung Bali Suites Hotel
325,Amahai,ID,84.56,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
329,Nishihara,JP,82.4,overcast clouds,26.18,127.76,Minshuku Agaihama
333,Sorong,ID,85.98,broken clouds,-0.88,131.25,The Waigo Hotel
334,Manaure,CO,80.28,overcast clouds,11.78,-72.44,Del mar vendra
337,Dingle,PH,77.13,moderate rain,11.0,122.67,SEGAYA PROPERTY
338,Bhinmal,IN,84.85,clear sky,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
339,Fare,PF,80.24,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
341,Port Blair,IN,84.76,clear sky,11.67,92.75,Fortune Resort Bay Island
355,Lodhran,PK,84.99,clear sky,29.54,71.63,Gulshan e khalil
359,Paka,MY,87.8,scattered clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
362,Acapulco,MX,78.1,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
363,Mangochi,MW,82.04,broken clouds,-14.48,35.26,Eunice Guesthouse
364,Takoradi,GH,77.76,overcast clouds,4.88,-1.76,Raybow International Hotel
365,Salina Cruz,MX,78.71,overcast clouds,16.17,-95.2,Amerik HOTEL
367,Kokopo,PG,83.66,light rain,-4.35,152.26,Kokopo Beach Bungalow Resort
372,Mackay,AU,84.2,broken clouds,-21.15,149.2,International Lodge Motel
373,Itoman,JP,82.0,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
374,Banda Aceh,ID,79.25,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
380,Rach Gia,VN,87.8,scattered clouds,10.02,105.08,Nhà Hàng Hòa Giang
381,Labuhan,ID,87.62,few clouds,-6.88,112.21,bador sepret
382,Palauig,PH,85.01,overcast clouds,15.44,119.9,Myhousebythesea
384,Rawatsar,IN,80.83,clear sky,29.28,74.38,Honda Service Center
385,Alugan,PH,81.46,very heavy rain,12.22,125.48,JM Lodge
386,Soe,ID,89.89,clear sky,-9.86,124.28,Dena Hotel
387,Cayenne,GF,75.2,clear sky,4.93,-52.33,Hôtel Le Dronmi
391,Ugoofaaru,MV,83.68,moderate rain,5.67,73.0,Ungoofaaru Inn
393,Tual,ID,83.19,scattered clouds,-5.67,132.75,Grand Vilia Hotel
395,Sadiqabad,PK,86.7,clear sky,28.31,70.13,MIDWAY HOTEL & RESTAURANT
398,Hirara,JP,86.0,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
401,Fomboni,KM,79.84,clear sky,-12.28,43.74,Auberge les abou
404,Isla Mujeres,MX,78.8,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
406,Sao Filipe,CV,78.26,overcast clouds,14.9,-24.5,Tortuga B&B
410,Khombole,SN,78.8,few clouds,14.77,-16.7,Keur serigne Mansour Sy
411,Maragogi,BR,76.84,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
413,Sur,OM,80.6,few clouds,22.57,59.53,Sur Plaza Hotel
420,Atar,MR,80.98,overcast clouds,20.52,-13.05,Oumou Elghoura
421,Kailua,US,80.6,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
423,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
426,Hervey Bay,AU,79.0,light rain,-25.3,152.85,Shelly Bay Resort
432,Jagalur,IN,78.87,scattered clouds,14.53,76.35,Nisarga gardan family restaurant
439,Jibuti,DJ,78.8,clear sky,11.5,42.5,Orchid Main Camp Goubet
449,Lormi,IN,80.94,clear sky,22.28,81.73,suresh Kumar Porte
453,Totness,SR,77.05,light rain,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
460,Ha Tinh,VN,77.86,broken clouds,18.33,105.9,Phú Quý
462,San Ramon De La Nueva Oran,AR,79.0,overcast clouds,-23.13,-64.33,Hotel Residencial Centro
465,Port Augusta,AU,75.99,clear sky,-32.5,137.77,Majestic Oasis Apartments
471,Pangai,TO,78.8,few clouds,-19.8,-174.35,Ha'apai Beach Resort
481,Luorong,CN,77.14,scattered clouds,24.41,109.61,Liuzhou An'an Hotel
482,Yeppoon,AU,84.2,few clouds,-23.13,150.73,Villa Mar Colina
488,Talcher,IN,79.95,clear sky,20.95,85.22,Hotel Green Park
494,Moroni,KM,80.6,few clouds,-11.7,43.26,Hotel les Arcades
495,Rayong,TH,86.0,scattered clouds,12.83,101.43,Purimas Beach Hotel
496,Algiers,DZ,78.8,broken clouds,36.75,3.04,Sofitel Algiers Hamma Garden
497,Qidong,CN,78.01,scattered clouds,31.81,121.66,Hilton Garden Inn Qidong
512,Qiongshan,CN,80.6,clear sky,20.01,110.35,Sun City Restaurant
515,Shakawe,BW,80.22,clear sky,-18.37,21.85,Ditlhapi Guest House
516,Tarakan,ID,82.56,overcast clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
517,Beira,MZ,75.2,mist,-19.84,34.84,Beira Terrace Hotel
518,Bintulu,MY,80.6,scattered clouds,3.17,113.03,900 Boutique INN
519,Mae Sot,TH,86.0,scattered clouds,16.72,98.57,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
520,Carutapera,BR,76.05,overcast clouds,-1.2,-46.02,Lidera
528,Veraval,IN,85.23,clear sky,20.9,70.37,Lords Inn Somnath
532,Matara,LK,87.39,clear sky,5.95,80.54,Amaloh Boutique Resort
536,Martapura,ID,88.74,moderate rain,-3.42,114.85,Montana Hotel Syariah
543,Trincomalee,LK,84.13,light rain,8.57,81.23,Welcombe Hotel
545,Yulin,CN,79.63,few clouds,22.63,110.15,罗弟天海大厦
546,Kapoeta,SS,81.03,clear sky,4.77,33.59,Eastgate Hotel
547,Puerto Escondido,MX,77.0,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
553,Puerto Ayacucho,VE,76.37,light rain,5.66,-67.62,Posada Turistica Manapiare
555,Cap Malheureux,MU,78.01,clear sky,-19.98,57.61,Pereybere Hotel & Spa
557,Pyay,MM,84.92,clear sky,18.82,95.22,Shwe Pyi Thar
559,Saint-Pierre,RE,78.8,clear sky,-21.34,55.48,Lindsey Hôtel
563,Bathsheba,BB,80.6,broken clouds,13.22,-59.52,Atlantis Hotel
573,Bhopal,IN,78.8,haze,23.27,77.4,Jehan Numa Palace Hotel
574,Neiafu,TO,78.8,scattered clouds,-18.65,-173.98,Mystic Sands
580,Port-Gentil,GA,79.5,moderate rain,-0.72,8.78,Fengshui Residence
581,Catole Do Rocha,BR,75.96,broken clouds,-6.34,-37.75,"Berço da Civilização Ocidental, da Filosofia, Dramturgia e da Democracia. Epicentro da Terra, Origem de Toda a Cultura Asteca, Inca, Maia, Pigmeu"
583,Kloulklubed,PW,84.2,moderate rain,7.04,134.26,Storyboard Beach Resort
587,George Town,MY,87.8,moderate rain,5.41,100.34,Cititel Penang
589,Senanga,ZM,79.05,scattered clouds,-16.12,23.27,Christopher Nasilele House
593,Betong,TH,82.24,moderate rain,5.77,101.07,New Cathay Hotel
597,Honiara,SB,89.6,scattered clouds,-9.43,159.95,Heritage Park Hotel
599,Jamkhed,IN,79.41,clear sky,18.74,75.31,Kashid Residency
602,Vanimo,PG,84.06,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
604,Boyolangu,ID,86.65,scattered clouds,-8.12,111.89,Yos ega cv
607,Bullhead City,US,82.4,clear sky,35.15,-114.57,Golden Nugget Laughlin Hotel & Casino
608,Yen Bai,VN,80.96,scattered clouds,21.7,104.87,AK MOTEL
622,Pathein,MM,85.95,light rain,16.78,94.73,Pathein Hotel
623,Manadhoo,MV,83.86,light rain,5.77,73.38,Vevu Guesthouse
625,Lang Son,VN,78.35,clear sky,21.83,106.73,Khai Nga Hotel
631,Marsh Harbour,BS,78.33,overcast clouds,26.54,-77.06,Abaco Beach Resort
634,Mormugao,IN,89.6,scattered clouds,15.4,73.8,Coconut Creek Resort
637,Sambava,MG,77.83,overcast clouds,-14.27,50.17,Melrose
639,Dhidhdhoo,MV,82.9,moderate rain,6.88,73.1,Dhidhoo beach
641,Yarada,IN,84.2,haze,17.65,83.27,"D-26/2, Dolphin Hill,"
